chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent,
chr1_hap1_hsa1,52174000,52175000,Eastern,11.58699974,7.978498807,0.491670735,CFHR4,protein_coding,complement factor H related 4,1.3,23,
chr3_hap1_hsa4,173184000,173185000,Western,14.60998559,7.972967431,0.970575236,LOC129143874,lncRNA,uncharacterized LOC129143874,2.2,99.5,
chr5_hap1_hsa6,35988000,35989000,Eastern,11.00351178,7.970457089,0.761289009,RNF39,protein_coding,ring finger protein 39,0,97.8,
chr6_hap1_hsa7,18997000,18998000,Eastern,10.39238709,7.963166512,0.753059022,LOC134810521,lncRNA,uncharacterized LOC134810521,0,66.7,
chr2_hap1_hsa3,25990000,25991000,Eastern,11.26535758,7.955949984,0.481654336,ZNF385D,protein_coding,zinc finger protein 385D,0,98.2,
chr10_hap1_hsa12,54395000,54396000,Eastern,10.82988221,7.954524739,0.760324772,PDZRN4,protein_coding,PDZ domain containing ring finger 4,1.3,100,
chr17_hap1_hsa18,81612000,81613000,Eastern,11.56822865,7.951769709,0.589814399,LOC134808627,lncRNA,uncharacterized LOC134808627,1.5,100,
chr3_hap1_hsa4,5976000,5977000,Eastern,10.36530022,7.950343823,0.580488492,EVC2,protein_coding,EvC ciliary complex subunit 2,3.5,87.5,
chr7_hap1_hsa8,22080000,22081000,Eastern,11.92697388,7.947624757,0.50385118,LOC107976244,lncRNA,uncharacterized LOC107976244,0,100,
chr10_hap1_hsa12,77604000,77605000,Eastern,10.22155329,7.940905056,0.522992099,PTPRR,protein_coding,protein tyrosine phosphatase receptor type R,2.1,27,
chr3_hap1_hsa4,37408000,37409000,Eastern,10.45322696,7.938836066,0.630990083,LOC107974074,lncRNA,uncharacterized LOC107974074,4.9,99.1,
chr4_hap1_hsa5,2685000,2686000,Western,13.48775983,7.934431716,0.926527341,LOC104006320,lncRNA,uncharacterized LOC104006320,0,72.2,
chr4_hap1_hsa5,1601000,1602000,Eastern,11.53024029,7.931680573,0.514747597,LOC134809997,lncRNA,uncharacterized LOC134809997,0,97.1,
chr12_hap1_hsa2a,118484000,118485000,Eastern,10.65176905,7.929458969,0.701363968,LOC134807842,lncRNA,uncharacterized LOC134807842,2.6,100,
chr18_hap1_hsa16,82639000,82640000,Eastern,11.39226822,7.923490601,0.628234639,MEAK7,protein_coding,MTOR associated protein%2C eak-7 homolog,0,80.3,
chr16_hap1_hsa15,40907000,40908000,Eastern,9.881343046,7.918566198,0.669670987,SHC4,protein_coding,SHC adaptor protein 4,3.9,74,
chr1_hap1_hsa1,82248000,82249000,Eastern,11.41050639,7.918163945,0.563379496,TADA1,protein_coding,transcriptional adaptor 1,2.9,33.8,
chr16_hap1_hsa15,7109000,7110000,Western,13.18697334,7.917750977,0.855068882,LOC100613625,protein_coding,putative golgin subfamily A member 8G,2.9,59.4,
chr5_hap1_hsa6,36901000,36902000,Eastern,10.25221642,7.917701661,0.599244363,MUC22,protein_coding,mucin 22,0,35.5,
chr8_hap1_hsa10,140279000,140280000,Eastern,11.03382962,7.915722723,0.762094863,MKI67,protein_coding,marker of proliferation Ki-67,4.2,60.9,
chr2_hap1_hsa3,186311000,186312000,Eastern,9.87805141,7.915265257,0.630355579,LAMP3,protein_coding,lysosomal associated membrane protein 3,1.3,95.8,
chr9_hap1_hsa11,93326000,93327000,Eastern,11.35244548,7.907174041,0.833715917,LOC129136356,lncRNA,uncharacterized LOC129136356,0,92,
chr12_hap1_hsa2a,104018000,104019000,Eastern,11.74548444,7.905937314,0.821131474,LOC134807945,lncRNA,uncharacterized LOC134807945,4.7,79.8,
chr20_hap1_hsa19,56616000,56617000,Western,14.19989314,7.903876304,0.727082058,MIR373,miRNA,microRNA mir-373,1.1,87.6,
chr3_hap1_hsa4,38771000,38772000,Eastern,11.46677069,7.899622706,0.361917631,LOC104006025,lncRNA,uncharacterized LOC104006025,0,43,
chr2_hap1_hsa3,101553000,101554000,Eastern,10.97674938,7.898060179,0.778011968,LOC738646,protein_coding,olfactory receptor 5H6-like,0,92.5,
chr4_hap1_hsa5,177595000,177596000,Eastern,17.10477126,7.897743013,1.061170737,RASGEF1C,protein_coding,RasGEF domain family member 1C,0,27.8,
chr20_hap1_hsa19,55570000,55571000,Eastern,15.6530689,7.895294024,0.779840252,LOC104001134,protein_coding,zinc finger protein 83,0,47.3,
chr4_hap1_hsa5,178394000,178395000,Western,16.11622521,7.893615284,0.998180741,BTNL8,protein_coding,butyrophilin like 8,3,25.3,
chr7_hap1_hsa8,17043000,17044000,Eastern,10.96677727,7.892207715,0.700868848,XKR6,protein_coding,XK related 6,3.7,94.8,
chr5_hap1_hsa6,8274000,8275000,Eastern,10.72771156,7.890445995,0.719716334,LOC134810163,protein_coding,serine/threonine-protein kinase Nek4-like,0,83,
chr2_hap1_hsa3,5227000,5228000,Eastern,11.37063878,7.890122849,0.799409829,CNTN6,protein_coding,contactin 6,1.6,81.1,
chr22_hap1_hsa21,30261000,30262000,Eastern,9.87363735,7.887797634,0.647192831,BACH1,protein_coding,BTB domain and CNC homolog 1,0,83.3,
chr13_hap1_hsa2b,129938000,129939000,Eastern,10.47109691,7.874015481,0.745290367,SLC19A3,protein_coding,solute carrier family 19 member 3,1.6,73.9,
chr5_hap1_hsa6,88950000,88951000,Eastern,11.45389732,7.871606301,0.41173749,LOC129144293,protein_coding,protein GVQW1-like,0,100,
chr4_hap1_hsa5,5946000,5947000,Eastern,11.30101948,7.867048706,0.776301377,ADAMTS16,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 16,1.4,100,
chr9_hap1_hsa11,25615000,25616000,Eastern,11.48714262,7.865274757,0.472115536,NELL1,protein_coding,neural EGFL like 1,0,100,
chr1_hap1_hsa1,215548000,215549000,Western,12.57536544,7.863139738,0.904504931,DDI2,protein_coding,DNA damage inducible 1 homolog 2,1.9,98.6,
chr2_hap1_hsa3,200825000,200826000,Western,14.3512017,7.860533796,0.887929727,LOC112208690,protein_coding,myosin light chain kinase 2%2C skeletal/cardiac muscle-like,0,20.4,
chr19_hap1_hsa17,56739000,56740000,Eastern,11.48841881,7.854042809,0.824786642,LOC107969247,lncRNA,uncharacterized LOC107969247,0,99.8,
chr5_hap1_hsa6,35411000,35412000,Eastern,10.36361689,7.853910066,0.626448303,LOC462525,protein_coding,olfactory receptor 2H1-like,1.1,99.7,
chr8_hap1_hsa10,145077000,145078000,Eastern,10.96470101,7.849165499,0.578826689,CFAP46,protein_coding,cilia and flagella associated protein 46,0,68.7,
chr3_hap1_hsa4,65587000,65588000,Eastern,9.358341986,7.843455915,0.698401582,TECRL,protein_coding,trans-2%2C3-enoyl-CoA reductase like,0,27.1,
chr23_hap1_hsa22,50551000,50552000,Eastern,12.37510661,7.83958729,0.564731859,TAFA5,protein_coding,TAFA chemokine like family member 5,0,34.2,
chr9_hap1_hsa11,40354000,40355000,Eastern,9.876621096,7.834515519,0.705272229,PRR5L,protein_coding,proline rich 5 like,0,95.2,
chr1_hap1_hsa1,200730000,200731000,Eastern,10.01849873,7.827594277,0.630851411,LOC129143191,lncRNA,uncharacterized LOC129143191,3.9,89.6,
chr12_hap1_hsa2a,35656000,35657000,Eastern,12.62605799,7.827270046,0.604408442,LOC112208301,snRNA,U2 spliceosomal RNA,1.2,99.8,
chr21_hap1_hsa20,8589000,8590000,Eastern,11.43295004,7.825531293,0.851594023,LOC107969908,lncRNA,uncharacterized LOC107969908,4.9,93.3,
chr2_hap1_hsa3,72913000,72914000,Eastern,9.853512229,7.824182225,0.423076123,TAFA4,protein_coding,TAFA chemokine like family member 4,3.6,96.5,
chr4_hap1_hsa5,150167000,150168000,Eastern,9.715221871,7.823663967,0.689288827,LOC134810119,lncRNA,uncharacterized LOC134810119,1.7,100,
chr10_hap1_hsa12,87967000,87968000,Eastern,10.45763364,7.81823918,0.646631899,ACSS3,protein_coding,acyl-CoA synthetase short chain family member 3,4.2,94.8,
chr8_hap1_hsa10,136602000,136603000,Eastern,10.6703343,7.817974515,0.785732845,LHPP,protein_coding,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,4.2,68.1,
chr3_hap1_hsa4,60406000,60407000,Eastern,10.79667043,7.816747607,0.7908271,SULT1B1,protein_coding,sulfotransferase family 1B member 1,0,100,
chr20_hap1_hsa19,50893000,50894000,Eastern,9.891271165,7.811741847,0.542841975,ELSPBP1,protein_coding,epididymal sperm binding protein 1,1.4,46,
chr11_hap1_hsa9,104189000,104190000,Western,12.3214104,7.81038344,0.880468547,TYRP1,protein_coding,tyrosinase related protein 1,1.7,41.3,
chr10_hap1_hsa12,133702000,133703000,Eastern,9.755475926,7.80266155,0.609367554,LOC134807442,lncRNA,uncharacterized LOC134807442,0,100,
chr9_hap1_hsa11,9278000,9279000,Eastern,11.10281675,7.802352765,0.797414614,LOC466370,protein_coding,olfactory receptor 52A5,0,100,
chr18_hap1_hsa16,23061000,23062000,Eastern,11.40893878,7.801986295,0.640845901,ACSM5,protein_coding,acyl-CoA synthetase medium chain family member 5,2.5,41.9,
chr20_hap1_hsa19,2802000,2803000,Eastern,9.469345554,7.800585352,0.456446311,TPGS1,protein_coding,tubulin polyglutamylase complex subunit 1,4.6,66.6,
chr9_hap1_hsa11,7645000,7646000,Eastern,11.60445912,7.797554964,0.744777152,LOC134807326,lncRNA,uncharacterized LOC134807326,1.5,66.6,
chr12_hap1_hsa2a,43130000,43131000,Eastern,9.974991733,7.793050421,0.451491923,CTNNA2,protein_coding,catenin alpha 2,3.6,99.9,
chr8_hap1_hsa10,142097000,142098000,Eastern,10.48748663,7.791825928,0.551372678,EBF3,protein_coding,EBF transcription factor 3,1.8,70.4,
chr15_hap1_hsa14,104224000,104225000,Eastern,14.37950182,7.791578644,0.683224886,LOC101058482,V_segment,immunoglobulin heavy variable 5-51-like,0,92.9,
chr5_hap1_hsa6,164308000,164309000,Eastern,10.58788026,7.791082896,0.69645808,SYNE1,protein_coding,spectrin repeat containing nuclear envelope protein 1,2.5,65,
chr20_hap1_hsa19,55717000,55718000,Eastern,14.45206127,7.789858918,0.870117453,ZNF468,protein_coding,zinc finger protein 468,0,34.4,
chr6_hap1_hsa7,15618000,15619000,Eastern,10.04398524,7.788685639,0.616359902,LOC134810405,lncRNA,uncharacterized LOC134810405,2.3,82.4,
chr11_hap1_hsa9,29988000,29989000,Eastern,10.92537651,7.786817359,0.788431354,LOC107976875,lncRNA,uncharacterized LOC107976875,3,83.7,
chr8_hap1_hsa10,27469000,27470000,Western,13.6517898,7.785202965,0.933350292,FAM107B,protein_coding,family with sequence similarity 107 member B,3.5,90.6,
chr1_hap1_hsa1,127573000,127574000,Eastern,11.44703951,7.784066991,0.833014059,AMY2B,protein_coding,amylase alpha 2B,0,100,
chr18_hap1_hsa16,81986000,81987000,Eastern,11.43867728,7.783724581,0.490330167,LOC134808828,lncRNA,uncharacterized LOC134808828,1.9,75.5,
chr18_hap1_hsa16,9065000,9066000,Eastern,10.8764877,7.780904286,0.446388635,RBFOX1,protein_coding,RNA binding fox-1 homolog 1,4.5,93.6,
chr11_hap1_hsa9,99349000,99350000,Eastern,11.70797821,7.780281108,0.550199789,BNC2,protein_coding,basonuclin zinc finger protein 2,3.5,38.6,
chr6_hap1_hsa7,57457000,57458000,Eastern,9.36597427,7.776537203,0.688221632,LOC134810486,lncRNA,uncharacterized LOC134810486,0,99.2,
chr18_hap1_hsa16,85955000,85956000,Western,14.78711682,7.774363474,0.65030018,KLHDC4,protein_coding,kelch domain containing 4,4,65.5,
chr19_hap1_hsa17,10785000,10786000,Western,17.50818352,7.774239379,0.876101479,RPH3AL,protein_coding,rabphilin 3A like (without C2 domains),0,32.2,
chr16_hap1_hsa15,92399000,92400000,Eastern,10.37490744,7.770405813,0.761817023,CERS3,protein_coding,ceramide synthase 3,0,87.8,
chr2_hap1_hsa3,10210000,10211000,Eastern,9.742200578,7.768177646,0.664915446,LOC129143475,lncRNA,uncharacterized LOC129143475,2.2,89.3,
chr1_hap1_hsa1,219724000,219725000,Eastern,10.19374854,7.765775063,0.477318752,VPS13D,protein_coding,vacuolar protein sorting 13 homolog D,2.6,92.5,
chr9_hap1_hsa11,4718000,4719000,Western,12.86921826,7.763909259,0.908153276,LOC104008369,misc_RNA,uncharacterized LOC104008369,1.3,61.5,
chr15_hap1_hsa14,103822000,103823000,Western,13.86621278,7.760657233,0.754637093,LOC134808389,C_region,immunoglobulin gamma-1 heavy chain-like,4.8,23.5,
chr13_hap1_hsa2b,70953000,70954000,Eastern,11.70529615,7.760301354,0.464014647,ABCB11,protein_coding,ATP binding cassette subfamily B member 11,4.6,95.4,
chr10_hap1_hsa12,12898000,12899000,Eastern,10.1431822,7.756742514,0.416908329,ANO2,protein_coding,anoctamin 2,3.5,76.5,
chr5_hap1_hsa6,89672000,89673000,Eastern,11.29879693,7.754586261,0.567247294,MEI4,protein_coding,meiotic double-stranded break formation protein 4,0,44.9,
chr9_hap1_hsa11,8525000,8526000,Western,14.57318245,7.753790918,0.900944508,LOC129136397,protein_coding,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,3.1,24.5,
chr21_hap1_hsa20,69990000,69991000,Western,13.9148148,7.750728416,0.767902518,STMN3,protein_coding,stathmin 3,1.5,22.1,
chr3_hap1_hsa4,118872000,118873000,Eastern,11.23153216,7.746861079,0.623189875,LOC107974382,lncRNA,uncharacterized LOC107974382,1.1,99.5,
chr3_hap1_hsa4,189324000,189325000,Eastern,9.951725691,7.74372796,0.584861712,LOC129143802,lncRNA,uncharacterized LOC129143802,0,50.9,
chr16_hap1_hsa15,89400000,89401000,Eastern,11.30498133,7.740250178,0.592517145,LOC104002450,lncRNA,uncharacterized LOC104002450,0,53.9,
chr6_hap1_hsa7,6821000,6822000,Eastern,15.4277041,7.740101297,0.51494778,GET4,protein_coding,guided entry of tail-anchored proteins factor 4,2.8,24,
chr22_hap1_hsa21,28077000,28078000,Western,12.1556176,7.736938747,0.940296331,LOC129138281,lncRNA,uncharacterized LOC129138281,4.4,85.4,
chr1_hap1_hsa1,228446000,228447000,Western,12.71264903,7.736431152,0.95303193,WRAP73,protein_coding,WD repeat containing%2C antisense to TP73,0,31,
chr7_hap1_hsa8,47917000,47918000,Eastern,9.458438635,7.733685811,0.67232057,ADAM18,protein_coding,ADAM metallopeptidase domain 18,3.4,66.9,
chr3_hap1_hsa4,22332000,22333000,Eastern,9.996877527,7.732082619,0.74191999,KCNIP4,protein_coding,potassium voltage-gated channel interacting protein 4,3,82.3,
chr2_hap1_hsa3,200914000,200915000,Eastern,9.507825402,7.731521886,0.697341719,RUBCN,protein_coding,rubicon autophagy regulator,4.6,72.5,
chr20_hap1_hsa19,56641000,56642000,Eastern,11.59343044,7.728716973,0.422058355,NLRP12,protein_coding,NLR family pyrin domain containing 12,5,72.1,
chr12_hap1_hsa2a,88426000,88427000,Eastern,10.34292897,7.728433403,0.454016469,LOC107973427,lncRNA,uncharacterized LOC107973427,0,91.4,
chr21_hap1_hsa20,9353000,9354000,Eastern,11.30812063,7.72693701,0.602413963,EBF4,protein_coding,EBF family member 4,4.9,95.9,
chr22_hap1_hsa21,19378000,19379000,Eastern,11.88145247,7.724670185,0.611381702,TMPRSS15,protein_coding,transmembrane serine protease 15,2.7,73.2,
chr20_hap1_hsa19,55910000,55911000,Eastern,10.39928259,7.723336874,0.568827234,ZNF160,protein_coding,zinc finger protein 160,0,71.7,
chr4_hap1_hsa5,154185000,154186000,Eastern,11.20978487,7.722444319,0.554814143,SGCD,protein_coding,sarcoglycan delta,2.1,65.1,
chr7_hap1_hsa8,8651000,8652000,Eastern,12.09414297,7.722142645,0.796660661,LOC134810642,lncRNA,uncharacterized LOC134810642,0,90.3,
chr17_hap1_hsa18,78209000,78210000,Eastern,11.3584637,7.719668846,0.638584291,LOC107969522,lncRNA,uncharacterized LOC107969522,0,99.7,
chr1_hap1_hsa1,211128000,211129000,Eastern,11.04296987,7.719438075,0.762027879,PLA2G5,protein_coding,phospholipase A2 group V,3.5,93.1,
chr15_hap1_hsa14,103469000,103470000,Western,14.13725486,7.71934698,0.863452203,MTA1,protein_coding,metastasis associated 1,3.4,34.1,
chr18_hap1_hsa16,85800000,85801000,Western,12.7072029,7.718087191,0.785394943,JPH3,protein_coding,junctophilin 3,1.5,90.8,
chr2_hap1_hsa3,69090000,69091000,Eastern,10.85800815,7.716095522,0.592293066,LOC134809569,lncRNA,uncharacterized LOC134809569,0,30.3,
chr4_hap1_hsa5,31840000,31841000,Eastern,10.95394986,7.714219498,0.806781746,EDIL3,protein_coding,EGF like repeats and discoidin domains 3,3.8,59.6,
chr18_hap1_hsa16,22056000,22057000,Eastern,9.812580146,7.714183433,0.486685571,TMC5,protein_coding,transmembrane channel like 5,1.3,99.2,
chr20_hap1_hsa19,3029000,3030000,Eastern,11.27286018,7.711709946,0.712025958,PALM,protein_coding,paralemmin,1.8,28.9,
chr19_hap1_hsa17,13448000,13449000,Eastern,12.06479854,7.711576243,0.768994911,RAP1GAP2,protein_coding,RAP1 GTPase activating protein 2,4.5,29.9,
chr2_hap1_hsa3,71222000,71223000,Eastern,10.95423796,7.710311459,0.508255034,SUCLG2,protein_coding,succinate-CoA ligase GDP-forming subunit beta,0,84.2,
chr2_hap1_hsa3,148887000,148888000,Eastern,11.15909204,7.709797202,0.658426975,LOC134809608,protein_coding,embryonic stem cell-related gene protein-like,2.4,100,
chr10_hap1_hsa12,138617000,138618000,Western,19.1548855,7.706784353,0.993566972,SFSWAP,protein_coding,splicing factor SWAP,0,24.9,
chr2_hap1_hsa3,184999000,185000000,Eastern,9.62213823,7.704280057,0.702485402,LOC112208697,rRNA,5S ribosomal RNA,4.8,83.1,
chr21_hap1_hsa20,28223000,28224000,Eastern,9.780623829,7.700241473,0.518576079,LOC134809195,lncRNA,uncharacterized LOC134809195,3,94.6,
chr22_hap1_hsa21,46847000,46848000,Eastern,10.59143448,7.699631946,0.348276321,SPATC1L,protein_coding,spermatogenesis and centriole associated 1 like,3.1,24.3,
chr21_hap1_hsa20,8616000,8617000,Eastern,11.19203388,7.698701308,0.626128285,PDYN,protein_coding,prodynorphin,1.3,93.7,
chr15_hap1_hsa14,70385000,70386000,Eastern,10.92019781,7.695014203,0.426123719,RGS6,protein_coding,regulator of G protein signaling 6,1.2,39.5,
chr9_hap1_hsa11,133604000,133605000,Western,13.00618233,7.694661023,0.871666538,NTM,protein_coding,neurotrimin,0,38.9,
chr6_hap1_hsa7,17078000,17079000,Eastern,11.2433613,7.693471135,0.822622955,LOC104007110,lncRNA,uncharacterized LOC104007110,2.2,56.5,
chr14_hap1_hsa13,87020000,87021000,Eastern,10.39922198,7.693290564,0.669808705,LOC134808242,protein_coding,T-box transcription factor TBX1-like,0,65.9,
chr7_hap1_hsa8,28662000,28663000,Eastern,11.26178607,7.69193772,0.654687963,LOC107976483,lncRNA,uncharacterized LOC107976483,3.1,99.9,
chr14_hap1_hsa13,37372000,37373000,Eastern,11.34128832,7.690890854,0.832029237,LOC104001824,lncRNA,uncharacterized LOC104001824,0,100,
chr2_hap1_hsa3,39761000,39762000,Eastern,9.97179683,7.686027668,0.744501488,ARPP21,protein_coding,cAMP regulated phosphoprotein 21,2.5,100,
chr2_hap1_hsa3,34772000,34773000,Eastern,10.76849887,7.68477482,0.845790146,GADL1,protein_coding,glutamate decarboxylase like 1,0,98.8,
chr20_hap1_hsa19,58791000,58792000,Eastern,11.6567397,7.683196154,0.316724162,NLRP4,protein_coding,NLR family pyrin domain containing 4,3.3,43,
chr9_hap1_hsa11,8841000,8842000,Eastern,11.84637254,7.677480498,0.840914326,OR51E2,protein_coding,olfactory receptor family 51 subfamily E member 2,0,99.9,
chr15_hap1_hsa14,18577000,18578000,Eastern,11.21993171,7.675899164,0.579388243,OR4K17,protein_coding,olfactory receptor family 4 subfamily K member 17,0,100,
chr7_hap1_hsa8,16457000,16458000,Eastern,11.6268148,7.67516445,0.596113686,MSRA,protein_coding,methionine sulfoxide reductase A,1.1,99.6,
chr3_hap1_hsa4,6428000,6429000,Eastern,9.932408097,7.673826583,0.790944246,JAKMIP1,protein_coding,janus kinase and microtubule interacting protein 1,5,83.8,
chr6_hap1_hsa7,154021000,154022000,Eastern,11.5558627,7.670439568,0.566143139,SVOPL,protein_coding,SVOP like,1.8,49.2,
chr3_hap1_hsa4,187507000,187508000,Eastern,11.03650232,7.670418397,0.605176219,SORBS2,protein_coding,sorbin and SH3 domain containing 2,2.7,97.2,
chr18_hap1_hsa16,82174000,82175000,Eastern,10.22246452,7.668884055,0.553057552,SLC38A8,protein_coding,solute carrier family 38 member 8,1.2,59.7,
chr5_hap1_hsa6,7663000,7664000,Eastern,11.75520952,7.662370547,0.791615573,GMDS,protein_coding,GDP-mannose 4%2C6-dehydratase,2.6,98.7,
chr3_hap1_hsa4,177940000,177941000,Eastern,11.52729922,7.661239295,0.557605586,LOC134809934,lncRNA,uncharacterized LOC134809934,3,84,
chr6_hap1_hsa7,159658000,159659000,Eastern,9.731456316,7.659795559,0.58972573,TPK1,protein_coding,thiamin pyrophosphokinase 1,2.7,97.1,
chr14_hap1_hsa13,118645000,118646000,Eastern,10.38872286,7.659535076,0.584610792,MCF2L,protein_coding,MCF.2 cell line derived transforming sequence like,0,93.3,
chr21_hap1_hsa20,68126000,68127000,Eastern,9.762951247,7.658555072,0.497058601,CDH4,protein_coding,cadherin 4,0,97.3,
chr4_hap1_hsa5,95357000,95358000,Western,17.10166202,7.656396578,0.696670721,LOC134810088,lncRNA,uncharacterized LOC134810088,1.1,56.7,
chr8_hap1_hsa10,95787000,95788000,Eastern,11.56667594,7.656172144,0.551186756,LOC107966934,lncRNA,uncharacterized LOC107966934,0,81.9,
chr14_hap1_hsa13,107706000,107707000,Eastern,11.12694944,7.653312055,0.753467863,FGF14,protein_coding,fibroblast growth factor 14,3.9,87.9,
chr7_hap1_hsa8,27667000,27668000,Eastern,9.317759288,7.652013061,0.690675655,SH2D4A,protein_coding,SH2 domain containing 4A,1.2,99.9,
chr12_hap1_hsa2a,51854000,51855000,Eastern,11.40426456,7.645071327,0.506702936,CD207,protein_coding,CD207 molecule,4.7,92.1,
chr20_hap1_hsa19,4977000,4978000,Western,13.83351004,7.632875969,0.968428134,GNG7,protein_coding,G protein subunit gamma 7,2.6,49.5,
chr2_hap1_hsa3,200792000,200793000,Western,12.95683712,7.621584691,0.739640253,LOC107970891,protein_coding,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial,0,35.7,
chr1_hap1_hsa1,2992000,2993000,Western,12.4470521,7.619036687,0.893914167,SMYD3,protein_coding,SET and MYND domain containing 3,2,99.9,
chr1_hap1_hsa1,1189000,1190000,Western,13.7869676,7.602761478,0.842243712,TRIM58,protein_coding,tripartite motif containing 58,0,24.4,
chr9_hap1_hsa11,135279000,135280000,Western,13.54459244,7.602478295,0.744282132,OPCML,protein_coding,opioid binding protein/cell adhesion molecule like,4.9,48.4,
chr20_hap1_hsa19,4265000,4266000,Western,12.89201956,7.600619038,0.695185593,CSNK1G2,protein_coding,casein kinase 1 gamma 2,3.4,47.3,
chr6_hap1_hsa7,44125000,44126000,Western,13.13107696,7.598944006,0.855249513,LOC104007162,lncRNA,uncharacterized LOC104007162,1.9,94.4,
chr5_hap1_hsa6,7147000,7148000,Western,15.99920743,7.58954141,0.853638881,LOC104006679,protein_coding,uncharacterized LOC104006679,0,45.9,
chr18_hap1_hsa16,73318000,73319000,Western,13.80641232,7.580638498,0.766175066,LOC736783,protein_coding,chymotrypsinogen B,1.4,23.2,
chr5_hap1_hsa6,180022000,180023000,Western,14.09978278,7.554358063,0.908162545,LOC104007081,protein_coding,SUMO-interacting motif-containing protein 1,1.3,27.4,
chr15_hap1_hsa14,104020000,104021000,Western,23.32660981,7.554070241,1.439681227,LOC134806971,V_segment,immunoglobulin heavy variable 4-30-4-like,0,95.9,
chr12_hap1_hsa2a,121780000,121781000,Western,15.69747478,7.553208821,0.9270714,SNTG2,protein_coding,syntrophin gamma 2,0,78.2,
chr9_hap1_hsa11,82149000,82150000,Western,12.96170144,7.545085788,0.941713058,TENM4,protein_coding,teneurin transmembrane protein 4,1.2,99.9,
chr9_hap1_hsa11,8725000,8726000,Western,12.44225233,7.532233105,0.849902662,C11H11orf40,lncRNA,chromosome 11 C11orf40 homolog,1.6,100,
chr2_hap1_hsa3,11385000,11386000,Western,13.18260414,7.528195059,0.990244528,GRM7,protein_coding,glutamate metabotropic receptor 7,1.5,99.9,
chr19_hap1_hsa17,96110000,96111000,Western,14.53618537,7.516369012,1.059164991,FN3K,protein_coding,fructosamine 3 kinase,0,67.8,
chr23_hap1_hsa22,52884000,52885000,Western,12.99523965,7.485769419,0.983025636,ACR,protein_coding,acrosin,0.2,51.1,
chr7_hap1_hsa8,27539000,27540000,Western,12.68369986,7.4639875,0.954251866,PSD3,protein_coding,pleckstrin and Sec7 domain containing 3,3.3,94.3,
chr20_hap1_hsa19,56276000,56277000,Western,13.01136945,7.45718267,0.649775374,ZNF761,protein_coding,zinc finger protein 761,3.8,46.3,
chr1_hap1_hsa1,89601000,89602000,Western,13.63522285,7.456715621,0.661924521,LOC104003354,protein_coding,putative olfactory receptor 10J6,0,35.7,
chr5_hap1_hsa6,181259000,181260000,Western,13.03505418,7.444339684,0.825354837,LOC129144352,lncRNA,uncharacterized LOC129144352,3.4,43.1,
chr20_hap1_hsa19,58954000,58955000,Western,12.62467744,7.440724646,0.835138173,NLRP5,protein_coding,NLR family pyrin domain containing 5,2.9,91.2,
chr4_hap1_hsa5,118062000,118063000,Western,12.53723684,7.438111273,0.745946985,LOC134809972,lncRNA,uncharacterized LOC134809972,0,83.4,
chr7_hap1_hsa8,17252000,17253000,Western,12.14062715,7.416259881,0.703599531,LOC472696,protein_coding,large ribosomal subunit protein eL19,0,29.4,
chr1_hap1_hsa1,215656000,215657000,Western,13.25093397,7.408547028,0.740525974,DNAJC16,protein_coding,DnaJ heat shock protein family (Hsp40) member C16,2.1,84.2,
chr18_hap1_hsa16,87844000,87845000,Western,18.30308841,7.403037572,0.76032547,DPEP1,protein_coding,dipeptidase 1,0,32,
chr6_hap1_hsa7,170491000,170492000,Western,15.29648556,7.399287343,0.834998535,LOC134810599,lncRNA,uncharacterized LOC134810599,2.7,33.3,
chr14_hap1_hsa13,117669000,117670000,Western,12.20831359,7.388079025,0.947271218,LOC107967993,protein_coding,uncharacterized LOC107967993,1.9,24.9,
chr20_hap1_hsa19,59175000,59176000,Western,14.73096066,7.388053194,1.083083036,ZSCAN5A,protein_coding,zinc finger and SCAN domain containing 5A,1.8,21.4,
chr5_hap1_hsa6,136219000,136220000,Western,12.53039431,7.383616866,0.956648571,NKAIN2,protein_coding,sodium/potassium transporting ATPase interacting 2,1.9,100,
chr1_hap1_hsa1,205634000,205635000,Western,13.73795783,7.349037094,0.714109329,LOC107971361,protein_coding,RH-like protein IC,3.4,32,
chr22_hap1_hsa21,46564000,46565000,Western,17.79759769,7.339448752,0.989985737,PCBP3,protein_coding,poly(rC) binding protein 3,1.8,35,
chr5_hap1_hsa6,38776000,38777000,Western,13.24009679,7.309195352,0.953065318,LOC129144234,lncRNA,uncharacterized LOC129144234,4.9,65.4,
chr20_hap1_hsa19,57492000,57493000,Western,12.77114613,7.296309415,0.884709215,LILRB4,protein_coding,leukocyte immunoglobulin like receptor B4,1.5,87.3,
chr1_hap1_hsa1,228880000,228881000,Western,13.88666051,7.284956344,0.826642376,PRDM16,protein_coding,PR/SET domain 16,0,32.9,
chr3_hap1_hsa4,7829000,7830000,Western,12.35512833,7.283446727,0.935829744,SORCS2,protein_coding,sortilin related VPS10 domain containing receptor 2,0,56.6,
